username,email,password,salt,courses_id,enrollment_year,graduation_year,is_job_hunt_completed,events_id,roles_id
admin user,admin1@mail.com,password,salt,,,,,1,1
福留 正大,exhibitor2@mail.com,password,salt,1,2022,2026,FALSE,1,2
鎌野 陽向,exhibitor3@mail.com,password,salt,1,2022,2026,FALSE,1,2
篠原 晴哉,exhibitor4@mail.com,password,salt,1,2022,2026,FALSE,1,2
大西 琉斗,exhibitor5@mail.com,password,salt,1,2022,2026,FALSE,1,2
神 さくら,exhibitor6@mail.com,password,salt,1,2022,2026,FALSE,1,2
杉本童麻,exhibitor7@mail.com,password,salt,1,2022,2026,FALSE,1,2
ジェイソン　ング,exhibitor8@mail.com,password,salt,1,2022,2026,FALSE,1,2
上之薗和人,exhibitor9@mail.com,password,salt,1,2022,2026,FALSE,1,2
大澤心春,exhibitor10@mail.com,password,salt,1,2022,2026,FALSE,1,2
中井　侑吾,exhibitor11@mail.com,password,salt,1,2022,2026,FALSE,1,2
福村晃弘,exhibitor12@mail.com,password,salt,1,2022,2026,FALSE,1,2
中木屋 十夢,exhibitor13@mail.com,password,salt,1,2022,2026,FALSE,1,2
日比恵多,exhibitor14@mail.com,password,salt,1,2022,2026,FALSE,1,2
穐田 成,exhibitor15@mail.com,password,salt,1,2022,2026,FALSE,1,2
川嶋　雄大,exhibitor16@mail.com,password,salt,1,2022,2026,FALSE,1,2
岡田未希,exhibitor17@mail.com,password,salt,1,2022,2026,FALSE,1,2
リン ウェイトン,exhibitor18@mail.com,password,salt,1,2022,2026,FALSE,1,2
久下楓珠,exhibitor19@mail.com,password,salt,1,2022,2026,FALSE,1,2
森尾優菜,exhibitor20@mail.com,password,salt,1,2022,2026,FALSE,1,2
バンレイナルドナサニエル,exhibitor21@mail.com,password,salt,1,2022,2026,FALSE,1,2
林良輝,exhibitor22@mail.com,password,salt,1,2022,2026,FALSE,1,2
砂原彩花,exhibitor23@mail.com,password,salt,1,2022,2026,FALSE,1,2
柳田 大心,exhibitor24@mail.com,password,salt,1,2022,2026,FALSE,1,2
平田晃大,exhibitor25@mail.com,password,salt,1,2022,2026,FALSE,1,2
藤井雄也,exhibitor26@mail.com,password,salt,1,2022,2026,FALSE,1,2
岩下翔紀,exhibitor27@mail.com,password,salt,1,2022,2026,FALSE,1,2
勝田紳太郎,exhibitor28@mail.com,password,salt,1,2022,2026,FALSE,1,2
山野錬磨,exhibitor29@mail.com,password,salt,1,2022,2026,FALSE,1,2
阪本 陸,exhibitor30@mail.com,password,salt,1,2022,2026,FALSE,1,2
永岡ひかり,exhibitor31@mail.com,password,salt,1,2022,2026,FALSE,1,2
本村　永遠,exhibitor32@mail.com,password,salt,1,2022,2026,FALSE,1,2
薛 思穏,exhibitor33@mail.com,password,salt,1,2022,2026,FALSE,1,2
須崎魁人,exhibitor34@mail.com,password,salt,1,2022,2026,FALSE,1,2
中木屋 十夢,exhibitor35@mail.com,password,salt,1,2022,2026,FALSE,1,2
和田卓斗,exhibitor36@mail.com,password,salt,1,2022,2026,FALSE,1,2
神崎未希,exhibitor37@mail.com,password,salt,1,2022,2026,FALSE,1,2
細田 海斗,exhibitor38@mail.com,password,salt,1,2022,2026,FALSE,1,2
中井 侑吾,exhibitor39@mail.com,password,salt,1,2022,2026,FALSE,1,2
グエンドゥックフィン,exhibitor40@mail.com,password,salt,1,2022,2026,FALSE,1,2
上森拓翔,exhibitor41@mail.com,password,salt,1,2022,2026,FALSE,1,2
中野優,exhibitor42@mail.com,password,salt,1,2022,2026,FALSE,1,2
山地咲愛,exhibitor43@mail.com,password,salt,1,2022,2026,FALSE,1,2
カワカミアヤカ,exhibitor44@mail.com,password,salt,1,2022,2026,FALSE,1,2
